Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste, ChristmasTree
Thursday2,08-18-16,R,R,0,R,0
Thursday2,08-25-16,R,0,R,0,0
Thursday2,09-01-16,R,R,0,R,0
Thursday2,09-08-16,R,0,R,0,0
Thursday2,09-15-16,R,R,0,R,0
Thursday2,09-22-16,R,0,R,0,0
Thursday2,09-29-16,R,R,0,R,0
Thursday2,10-06-16,R,0,R,0,0
Thursday2,10-13-16,R,R,0,R,0
Thursday2,10-20-16,R,0,R,0,0
Thursday2,10-27-16,R,R,0,R,0
Thursday2,11-03-16,R,0,R,0,0
Thursday2,11-10-16,R,R,0,R,0
Thursday2,11-17-16,R,0,R,0,0
Thursday2,11-24-16,R,R,0,R,0
Thursday2,12-01-16,R,0,R,0,0
Thursday2,12-08-16,R,R,0,R,0
Thursday2,12-15-16,R,0,R,0,0
Thursday2,12-22-16,R,R,0,0,0
Thursday2,12-29-16,R,0,R,0,0
Friday1,01-02-16,F,F,0,0,0
Friday1,01-08-16,F,0,F,0,0
Friday1,01-15-16,F,F,0,0,F
Friday1,01-22-16,F,0,F,0,0
Friday1,01-29-16,F,F,0,0,F
Friday1,02-05-16,F,0,F,0,0
Friday1,02-12-16,F,F,0,0,0
Friday1,02-19-16,F,0,F,0,0
Friday1,02-26-16,F,F,0,0,0
Friday1,03-04-16,F,0,F,0,0
Friday1,03-11-16,F,F,0,0,0
Friday1,03-18-16,F,0,F,0,0
Friday1,03-25-16,F,F,0,F,0
Friday1,04-01-16,F,0,F,0,0
Friday1,04-08-16,F,F,0,F,0
Friday1,04-15-16,F,0,F,0,0
Friday1,04-22-16,F,F,0,F,0
Friday1,04-29-16,F,0,F,0,0
Friday1,05-06-16,F,F,0,F,0
Friday1,05-13-16,F,0,F,0,0
Friday1,05-20-16,F,F,0,F,0
Friday1,05-27-16,F,0,F,0,0
Friday1,06-03-16,F,F,0,F,0
Friday1,06-10-16,F,0,F,0,0
Friday1,06-17-16,F,F,0,F,0
Friday1,06-24-16,F,0,F,0,0
Friday1,07-01-16,F,F,0,F,0
Friday1,07-08-16,F,0,F,0,0
Friday1,07-15-16,F,F,0,F,0
Friday1,07-22-16,F,0,F,0,0
Friday1,07-29-16,F,F,0,F,0
Friday1,08-05-16,F,0,F,0,0
Friday1,08-12-16,F,F,0,F,0
Friday1,08-19-16,F,0,F,0,0
Friday1,08-26-16,F,F,0,F,0
Friday1,09-02-16,F,0,F,0,0
Friday1,09-09-16,F,F,0,F,0
Friday1,09-16-16,F,0,F,0,0
Friday1,09-23-16,F,F,0,F,0
Friday1,09-30-16,F,0,F,0,0
Friday1,10-07-16,F,F,0,F,0
Friday1,10-14-16,F,0,F,0,0
Friday1,10-21-16,F,F,0,F,0
Friday1,10-28-16,F,0,F,0,0
Friday1,11-04-16,F,F,0,F,0
Friday1,11-11-16,F,0,F,0,0
Friday1,11-18-16,F,F,0,F,0
Friday1,11-25-16,F,0,F,0,0
Friday1,12-02-16,F,F,0,F,0
Friday1,12-09-16,F,0,F,0,0
Friday1,12-16-16,F,F,0,F,0
Friday1,12-23-16,F,0,F,0,0
Friday1,12-30-16,F,F,0,0,0
Friday2,01-02-16,F,0,F,0,0
Friday2,01-08-16,F,F,0,0,F
Friday2,01-15-16,F,0,F,0,0
Friday2,01-22-16,F,F,0,0,F
Friday2,01-29-16,F,0,F,0,0
Friday2,02-05-16,F,F,0,0,0
Friday2,02-12-16,F,0,F,0,0
Friday2,02-19-16,F,F,0,0,0
Friday2,02-26-16,F,0,F,0,0
Friday2,03-04-16,F,F,0,0,0
Friday2,03-11-16,F,0,F,0,0
Friday2,03-18-16,F,F,0,F,0
Friday2,03-25-16,F,0,F,0,0
Friday2,04-01-16,F,F,0,F,0
Friday2,04-08-16,F,0,F,0,0
Friday2,04-15-16,F,F,0,F,0
Friday2,04-22-16,F,0,F,0,0
Friday2,04-29-16,F,F,0,F,0
Friday2,05-06-16,F,0,F,0,0
Friday2,05-13-16,F,F,0,F,0
Friday2,05-20-16,F,0,F,0,0
Friday2,05-27-16,F,F,0,F,0
Friday2,06-03-16,F,0,F,0,0
Friday2,06-10-16,F,F,0,F,0
Friday2,06-17-16,F,0,F,0,0
Friday2,06-24-16,F,F,0,F,0
Friday2,07-01-16,F,0,F,0,0
Friday2,07-08-16,F,F,0,F,0
Friday2,07-15-16,F,0,F,0,0
Friday2,07-22-16,F,F,0,F,0
Friday2,07-29-16,F,0,F,0,0
Friday2,08-05-16,F,F,0,F,0
Friday2,08-12-16,F,0,F,0,0
Friday2,08-19-16,F,F,0,F,0
Friday2,08-26-16,F,0,F,0,0
Friday2,09-02-16,F,F,0,F,0
Friday2,09-09-16,F,0,F,0,0
Friday2,09-16-16,F,F,0,F,0
Friday2,09-23-16,F,0,F,0,0
Friday2,09-30-16,F,F,0,F,0
Friday2,10-07-16,F,0,F,0,0
Friday2,10-14-16,F,F,0,F,0
Friday2,10-21-16,F,0,F,0,0
Friday2,10-28-16,F,F,0,F,0
Friday2,11-04-16,F,0,F,0,0
Friday2,11-11-16,F,F,0,F,0
Friday2,11-18-16,F,0,F,0,0
Friday2,11-25-16,F,F,0,F,0
Friday2,12-02-16,F,0,F,0,0
Friday2,12-09-16,F,F,0,F,0
Friday2,12-16-16,F,0,F,0,0
Friday2,12-23-16,F,F,0,0,0
Friday2,12-30-16,F,0,F,0,0
